LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in active training set NsmsA=  36  in passive training set NsmsP=  35  in calibratuion set NsmsC=  36 Nact=  0 NactSFk=  0

Hydrogen filled graph (HFG) is used in the model
SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in active training set with SA
N2 is the number of SMILES in passive training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in active training set is 36
The number of SMILES in passive training set is 35
The number of SMILES in calibration set is 36


 SAk        : CW(SAk)    :        ID  :        NA  :        NP  :        NC  : DEFECT[SAk]:  Active 
O...N.......:         0.0:         195:           0:           0:           1:      1.0000:  FALSE
O...N...C...:         0.0:         196:           0:           0:           1:      1.0000:  FALSE
O...c...1...:         0.0:         197:           0:           1:           0:      1.0000:  FALSE
NOSP01000000:     -0.2600:         198:           3:           2:           2:      0.0079:  TRUE
NOSP10000000:      0.3707:         199:           6:           4:           5:      0.0070:  TRUE
NOSP10100000:         0.0:         200:           0:           1:           0:      1.0000:  FALSE
NOSP11000000:     -0.3083:         201:          27:          28:          28:      0.0012:  TRUE
NOSP11100000:         0.0:         202:           0:           0:           1:      1.0000:  FALSE
S...(.......:         0.0:         203:           0:           1:           1:      1.0000:  FALSE
S...(...=...:         0.0:         204:           0:           0:           1:      1.0000:  FALSE
S...(...N...:         0.0:         205:           0:           0:           1:      1.0000:  FALSE
S...........:         0.0:         206:           0:           1:           1:      1.0000:  FALSE
S...C...(...:         0.0:         207:           0:           1:           0:      1.0000:  FALSE
S...C.......:         0.0:         208:           0:           1:           0:      1.0000:  FALSE
[C@@H]......:         0.0:         209:           1:           0:           2:      1.0000:  FALSE
[C@@].......:         0.0:         210:           0:           0:           1:      1.0000:  FALSE
[C@H].......:         0.0:         211:           0:           1:           1:      1.0000:  FALSE
[C@]........:         0.0:         212:           0:           1:           0:      1.0000:  FALSE
[nH]........:      0.4147:         213:          18:          13:          15:      0.0056:  TRUE
c...(...(...:     -0.2278:         214:          15:          20:          15:      0.0062:  TRUE
c...(.......:     -0.4694:         215:          36:          35:          36:      0.0000:  TRUE
c...(...1...:         0.0:         216:           0:           0:           1:      1.0000:  FALSE
c...(...2...:      0.4297:         217:          11:           8:           8:      0.0062:  TRUE
c...(...3...:      0.1607:         218:          19:          24:          24:      0.0047:  TRUE
c...(...4...:      0.2520:         219:           5:           0:           2:      0.0397:  TRUE
c...(...C...:      0.0508:         220:          12:          17:          17:      0.0066:  TRUE
c...(...F...:         0.0:         221:           1:           2:           4:      1.0000:  FALSE
c...(...Br..:         0.0:         222:           1:           2:           3:      1.0000:  FALSE
c...(...Cl..:     -0.0390:         223:           9:           5:           9:      0.0093:  TRUE
c...(...N...:     -0.0024:         224:          33:          32:          34:      0.0006:  TRUE
c...(...O...:      0.2062:         225:           6:           3:           5:      0.0116:  TRUE
c...(...S...:         0.0:         226:           0:           1:           0:      1.0000:  FALSE
c...(...c...:     -0.3648:         227:          18:          13:          15:      0.0056:  TRUE
c...........:      0.2185:         228:          36:          35:          36:      0.0000:  TRUE
c.../.......:         0.0:         229:           0:           1:           0:      1.0000:  FALSE
c.../...C...:         0.0:         230:           0:           1:           0:      1.0000:  FALSE
c...1...(...:     -0.0697:         231:           3:           5:           3:      0.0108:  TRUE
c...1.......:      0.1445:         232:          31:          34:          32:      0.0023:  TRUE
c...1...C...:         0.0:         233:           0:           1:           1:      1.0000:  FALSE
c...1...F...:         0.0:         234:           0:           3:           0:      1.0000:  FALSE
c...1...N...:         0.0:         235:           1:           1:           1:      1.0000:  FALSE
c...1...O...:      0.0469:         236:           2:           0:           0:      1.0000:  TRUE
c...1...c...:      0.1718:         237:          20:          22:          21:      0.0023:  TRUE
c...2...(...:     -0.4330:         238:           8:           8:           6:      0.0056:  TRUE
c...2.......:      0.3387:         239:          36:          35:          36:      0.0000:  TRUE
c...2...3...:     -0.3645:         240:          11:          15:          11:      0.0066:  TRUE
c...2...N...:         0.0:         241:           0:           0:           1:      1.0000:  FALSE
c...2...c...:      0.2464:         242:          28:          22:          27:      0.0039:  TRUE
c...3...(...:     -0.3070:         243:          14:          11:          15:      0.0051:  TRUE
c...3.......:      0.0348:         244:          36:          34:          36:      0.0005:  TRUE
c...3...4...:     -0.2949:         245:           3:           0:           2:      0.0333:  TRUE
